"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39085","Lake County, Ohio",2012,1.1,1.2,1.6,1.3
"39141","Ross County, Ohio",2012,2.8,3,3.4,3.8
"39035","Cuyahoga County, Ohio",2012,0.5,0.6,0.6,0.8
"39109","Miami County, Ohio",2012,1.9,2.1,2.7,3.3
"39155","Trumbull County, Ohio",2012,1.3,1.3,1.7,1.8
"39173","Wood County, Ohio",2012,1.1,1.7,1.7,2.1
"39057","Greene County, Ohio",2012,1.3,1.6,1.9,2.3
"39043","Erie County, Ohio",2012,1.9,2.1,2.7,2.3
"39153","Summit County, Ohio",2012,0.8,1.2,1.1,1.2
"39029","Columbiana County, Ohio",2012,2.1,2,2.8,2.9
"39099","Mahoning County, Ohio",2012,0.9,1.4,1.5,1.8
"39145","Scioto County, Ohio",2012,2.4,2.4,3.4,4.7
"39003","Allen County, Ohio",2012,1.6,1.7,2.5,2.5
"39023","Clark County, Ohio",2012,1.6,2,2.2,2.4
"39093","Lorain County, Ohio",2012,1.1,1.2,1.3,1.5
"39113","Montgomery County, Ohio",2012,1.1,1,1.3,1.5
"39165","Warren County, Ohio",2012,1.4,1.2,1.2,1.4
"39007","Ashtabula County, Ohio",2012,2.1,2.4,2.9,2.7
"39061","Hamilton County, Ohio",2013,0.7,0.7,1,1.1
"39049","Franklin County, Ohio",2013,0.6,0.6,0.9,1.1
"39101","Marion County, Ohio",2013,2,2.9,3.9,3.5
"39157","Tuscarawas County, Ohio",2013,2,2.2,2.7,2.7
"39169","Wayne County, Ohio",2013,2.1,1,2.2,2.9
"39017","Butler County, Ohio",2013,1,0.9,1.5,1.6
"39089","Licking County, Ohio",2013,1.7,1.4,2.3,2.1
"39139","Richland County, Ohio",2013,1.6,2.4,2.6,2.6
"39063","Hancock County, Ohio",2013,1.8,2,3.1,2.9
"39081","Jefferson County, Ohio",2013,2.4,2,2.7,2.5
"39133","Portage County, Ohio",2013,1.2,1.8,2.1,2.6
"39013","Belmont County, Ohio",2013,2.3,2.5,2.8,3.3
"39119","Muskingum County, Ohio",2013,2.5,2.1,3.6,3.1
"39103","Medina County, Ohio",2013,1.3,1,1.5,1.3
"39095","Lucas County, Ohio",2013,1.1,1.1,1.6,1.5
"39151","Stark County, Ohio",2013,0.9,1,1.4,1.5
"39041","Delaware County, Ohio",2013,0.9,0.8,1.2,1.9
"39055","Geauga County, Ohio",2013,2.2,1.3,2,2.1
"39085","Lake County, Ohio",2013,1.3,1.2,1.5,1.9
"39141","Ross County, Ohio",2013,2.1,3.7,3.9,3.8
"39035","Cuyahoga County, Ohio",2013,0.7,0.6,0.8,0.9
"39109","Miami County, Ohio",2013,2.4,1.8,2.2,2.7
"39025","Clermont County, Ohio",2013,1.3,0.9,1.5,1.6
"39045","Fairfield County, Ohio",2013,1.7,1.5,2.4,2.7
"39155","Trumbull County, Ohio",2013,1.4,1.1,1.9,2.2
"39173","Wood County, Ohio",2013,1.3,1.5,2.2,2.2
"39057","Greene County, Ohio",2013,1.8,1.8,1.9,2.6
"39043","Erie County, Ohio",2013,2.3,2.4,3.5,3
"39153","Summit County, Ohio",2013,0.7,0.9,1.1,1.2
"39029","Columbiana County, Ohio",2013,2.1,2.4,2.7,3
"39099","Mahoning County, Ohio",2013,1.3,1.5,1.8,1.8
"39145","Scioto County, Ohio",2013,2.5,2.2,3.7,4
"39003","Allen County, Ohio",2013,1.7,2.1,2.5,2.4
"39023","Clark County, Ohio",2013,1.6,1.4,2.3,2.5
"39093","Lorain County, Ohio",2013,1.3,1.2,1.7,1.8
"39113","Montgomery County, Ohio",2013,0.9,1,1.5,1.6
"39165","Warren County, Ohio",2013,1.4,1.7,1.5,2.4
"39007","Ashtabula County, Ohio",2013,2.5,2.3,3.2,3
"39061","Hamilton County, Ohio",2014,0.7,0.8,0.9,1.2
"39049","Franklin County, Ohio",2014,0.6,0.6,0.8,1
"39101","Marion County, Ohio",2014,2.2,3,3.1,4.9
"39157","Tuscarawas County, Ohio",2014,2.3,1.4,2.4,2.2
"39169","Wayne County, Ohio",2014,2,1.3,2.3,2.9
"39139","Richland County, Ohio",2014,1.7,2,2.3,2.6
"39089","Licking County, Ohio",2014,1.3,1.1,1.9,2.7
"39063","Hancock County, Ohio",2014,2.7,2.2,3.2,3.8
"39025","Clermont County, Ohio",2014,1.5,1.4,1.9,2
"39045","Fairfield County, Ohio",2014,1.4,1.3,2.4,2
"39081","Jefferson County, Ohio",2014,1.8,3.1,3.2,3.6
"39133","Portage County, Ohio",2014,1.5,1.5,2.1,1.8
"39013","Belmont County, Ohio",2014,1.7,3.5,2.9,3
"39119","Muskingum County, Ohio",2014,2.3,2.5,3.7,3.9
