"county","year","mean_prev","lwr95_prev","upr95_prev"
"Rockingham",2016,0.0481650312387163,0.033481776503671,0.0657602332782598
"Rowan",2016,0.0649178935633482,0.047436451730471,0.0855695225572238
"Rutherford",2016,0.048880608542479,0.0334231643606691,0.0699330783938815
"Sampson",2016,0.0276947626893099,0.0188672295798745,0.0390825993283062
"Scotland",2016,0.035687353875837,0.024400607195551,0.0507611224605607
"Stanly",2016,0.0516159086048922,0.0378674474840026,0.0686943791021697
"Stokes",2016,0.0521072716228822,0.0355554591405081,0.0726511486647721
"Surry",2016,0.0566828630066701,0.0402559177956818,0.0772676216493559
"Swain",2016,0.0987989962358846,0.0609908685347832,0.153913982991775
"Transylvania",2016,0.0673201152858252,0.0433665850307628,0.102502837345439
"Tyrrell",2016,0.040029413185221,0.0212509055783627,0.0685824680028979
